,min_certainty,min_certainty_of_similar,ratio
0,0.010963285686561686,0.0927797777637525,8.462771145102774
1,0.028359416413680266,0.164710289050111,5.807957633805772
2,0.00991674851681427,0.16312195427962195,16.449136932638933
3,0.007662929541889925,0.24883426096437075,32.4724714750542
4,0.00888912173261521,0.31242837939295803,35.1472720017572
5,0.021806851883577227,0.3717894366618468,17.049202638086516
6,0.013325499384350273,0.4455783066426489,33.438019378541625
7,0.007555736973199112,0.6189868814379984,81.92276724740437
8,0.019223655787377576,0.6507939226296867,33.85380646781055
9,0.014053374885201753,0.717628028491632,51.06446204941822
10,0.0048306170614501225,0.7700030873164492,159.40056467347029
11,0.008121514174106411,0.7840135949166073,96.53539698499267
12,0.009111907189824353,0.7957696677577909,87.33294261891298
13,0.007861256829982696,0.7962309665519441,101.28545393850169
14,0.009303197504087368,0.7794137471777892,83.77912506268443
15,0.014789164711486022,0.8127032168133462,54.95261109521347
16,0.01242931285781712,0.8642418929072768,69.53255604663072
17,0.013903697743423815,0.9252089109949746,66.54408978594064
18,0.01543753194044443,0.9429719575611507,61.08307734675389
19,0.013323649617628516,0.9517116751022875,71.43025390303555
20,0.011486578962013327,0.9534996084914694,83.00988585415543
21,0.013035459832438997,0.9695863595245507,74.38067946876075
22,0.008997661754664488,0.9659210707184571,107.35245412150695
23,0.01640357257830538,0.904732476473636,55.15459953340859
24,0.013782238728696328,0.9496486427894305,68.90380158719384
