,min_certainty,min_certainty_of_similar,ratio
0,0.011433502764825576,0.06848704209351635,5.990031532962257
1,0.010789558503745189,0.07923103950426728,7.343306908875392
2,0.016320599617049642,0.09584029289816225,5.87235120932939
3,0.02187464003742834,0.14986635908367155,6.8511462966816605
4,0.017472564414466724,0.286231692962417,16.38177923816531
5,0.017616595441828253,0.27956188822162403,15.869234730670017
6,0.034391589635574836,0.3089333133633043,8.982815759226847
7,0.04647366165063349,0.33176898247901443,7.138860393077979
8,0.0253381406090006,0.41949919117881723,16.556036911003762
9,0.04892051225134775,0.411991540610593,8.421652220112286
10,0.025838996756664716,0.5788035466555971,22.400387759106973
11,0.04198825091186453,0.48070476409839413,11.4485541469069
12,0.026811575352723938,0.6074673183744377,22.65690510097989
13,0.036857678958078344,0.53713301723057,14.573164464357651
14,0.05341372756448456,0.6336645673849313,11.863327954783344
15,0.04960567927053442,0.6884969483900161,13.879397651933386
16,0.0678687066021914,0.6817454015946666,10.04506252919595
17,0.020105926901281435,0.6296905830120032,31.318654748111634
18,0.021662181869878006,0.6772955454364666,31.266266228623486
19,0.011539004995649638,0.7465932967183173,64.7017049563453
20,0.03712468525607815,0.7248630614479622,19.525096480899748
21,0.03713826165797052,0.790998011770343,21.298735494276457
22,0.020577887134391237,0.7791234828701855,37.862171066535716
23,0.022728986935927065,0.8144651712842048,35.83376476831894
24,0.023795550757801265,0.8529209875371762,35.84371701325509
25,0.020281200319110442,0.8618344271566715,42.49425150367395
26,0.025555149705250118,0.8769393776207793,34.31556409315883
27,0.005747739348879917,0.8753695934259929,152.29806716906523
28,0.027522539903513128,0.8632232832682186,31.364230419665304
29,0.028702858857463043,0.8662619526384631,30.180336981074827
30,0.03150508458073068,0.8845995765024305,28.077994021430886
31,0.023788672048316917,0.9009625380410932,37.87359530667192
32,0.022562690420138587,0.9292628796519956,41.18581881629557
33,0.02209519393050156,0.9535292948662099,43.15550693356439
34,0.010571507217267814,0.9560988791006899,90.44111302681321
35,0.011010043653352305,0.9606907292283179,87.25585106429706
36,0.01199876750856288,0.9670042594676814,80.59196569794207
37,0.008126638043630193,0.9633328692944915,118.54014712142487
38,9.045358500137102e-05,0.9537951434388112,200.0
39,0.004875986540518795,0.9550121577688457,195.8602940826072
40,0.004877724186711285,0.9596053707143677,196.7321918956971
41,0.002015864233452569,0.9633138609004199,200.0
