,0
0,0.8013333333333333
1,0.8013333333333333
2,0.796
3,0.8026666666666665
4,0.792
5,0.7946666666666667
6,0.7906666666666667
7,0.7906666666666667
8,0.7986666666666669
9,0.812
10,0.8213333333333332
11,0.8146666666666667
12,0.8173333333333334
13,0.8186666666666668
14,0.8160000000000001
15,0.8106666666666668
16,0.8133333333333332
17,0.8200000000000001
18,0.8173333333333334
19,0.8226666666666667
20,0.8213333333333332
21,0.8226666666666667
22,0.8240000000000001
23,0.8226666666666669
24,0.8213333333333335
25,0.8253333333333334
26,0.8346666666666666
27,0.836
28,0.8373333333333333
29,0.8386666666666667
30,0.8400000000000001
31,0.8373333333333333
32,0.8306666666666667
33,0.8320000000000001
34,0.8333333333333334
35,0.8333333333333334
36,0.8346666666666666
37,0.8386666666666664
38,0.8373333333333333
