,0
0,"[0.08688828810763427, 0.016367345666401967, 5.308636469137083]"
1,"[0.07862289236035536, 0.01135756614234551, 6.922512391736645]"
2,"[0.18803823320028545, 0.006723455237592768, 27.967499827902433]"
3,"[0.26860161925101766, 0.013039150094825924, 20.599626302146923]"
4,"[0.21227757422072124, 0.005701249089489546, 37.23352038977957]"
5,"[0.11794717201585692, 0.010342574139492244, 11.404044140760433]"
6,"[0.13046949240654704, 0.0033563580875426435, 38.8723399004396]"
7,"[0.2346799980329477, 0.038126595750274994, 6.1552832980441226]"
8,"[0.034462712249735405, 0.001971093212275399, 17.484060132271573]"
9,"[0.06819533225327079, 0.01181738874702587, 5.77076152042758]"
10,"[0.02963432108685371, 0.027733338713045175, 1.0685450242207712]"
11,"[0.2547878018485126, 0.06676620490524021, 3.8161192808566433]"
12,"[0.21752639587788258, 0.005091453450429939, 42.72383082664027]"
13,"[0.3459607318348801, 0.012707750748329527, 27.22438759513423]"
14,"[0.4211650536304745, 0.0005155530294296273, 816.9189774646902]"
15,"[0.40525101560838706, 0.0004025465512180748, 1006.7183891704667]"
16,"[0.2998717781646093, 0.17486211168094024, 1.714904248164212]"
17,"[0.4040740348719447, 0.029435687697124013, 13.727351609027446]"
18,"[0.41833652114986863, 0.060984080119807604, 6.859766029560772]"
19,"[0.4087584464249263, 0.31291762860902794, 1.306281299145488]"
20,"[0.4601420942086816, 0.3121726326743588, 1.4739988264399728]"
21,"[0.5845833056223059, 0.30494098655407975, 1.9170374970851383]"
22,"[0.6239798806299761, 0.31267187994664025, 1.9956379855344295]"
23,"[0.7697847608613606, 0.10969632515912098, 7.0174161235095385]"
24,"[0.7769390298590928, 0.24379622097302955, 3.186837871227886]"
25,"[0.7421099595371399, 0.08198917491895252, 9.051316350856393]"
26,"[0.719585975577588, 0.037385206775056856, 19.247880048043243]"
27,"[0.7123353375810124, 0.05861379226839136, 12.153032759239386]"
28,"[0.7341291620528598, 0.1340426202288254, 5.476833866718072]"
29,"[0.6963847812045898, 0.0747856262003248, 9.311746341993794]"
30,"[0.7157326570349727, 0.1404980059911074, 5.094254911206881]"
31,"[0.7096846725829211, 0.16204068763052315, 4.379669593856005]"
32,"[0.7037667856596768, 0.16943342400057082, 4.153647899232125]"
33,"[0.6569428179278485, 0.30181269668024435, 2.1766573280508705]"
34,"[0.653498872233911, 0.3360272898801051, 1.9447791650109136]"
35,"[0.8245302559105148, 0.383086646343072, 2.1523335876659857]"
36,"[0.8511975002466106, 0.4338893291367819, 1.9617848218117249]"
37,"[0.8932249950262814, 0.4268975912030918, 2.0923636334160984]"
38,"[0.8984550050450697, 0.473615323762129, 1.89701422223474]"
39,"[0.9048796532172125, 0.4666208640224353, 1.9392181597214342]"
40,"[0.9218903926266165, 0.4602047168875367, 2.0032180436166738]"
41,"[0.90714835877215, 0.47444397107226854, 1.9120242095646123]"
42,"[0.9289617189109215, 0.475053280710804, 1.955489534817972]"
43,"[0.9297117111589226, 0.4835488564665922, 1.9226841274169268]"
44,"[0.9148973555122337, 0.4866337192830057, 1.8800533527767482]"
45,"[0.9315568269257263, 0.49672630166824283, 1.8753925930580202]"
46,"[0.9350740238780182, 0.5028131797229258, 1.8596847926565665]"
47,"[0.9396275062749462, 0.49992253232940387, 1.8795462206848808]"
48,"[0.9678507873004139, 0.49382192771019273, 1.9599186123391679]"
49,"[0.9777221227078773, 0.4946432291781484, 1.9766208552624207]"
50,"[0.9807686663858111, 0.494924276915387, 1.9816539865420357]"
51,"[0.982467778603104, 0.49504219723384835, 1.9846142088348182]"
52,"[0.987050367425562, 0.49372602364256335, 1.9991864316638583]"
53,"[0.9874928302475668, 0.4933001263286012, 2.001809400692855]"
54,"[0.9879624606125906, 0.5115248726629058, 1.9314064934309785]"
