,0
0,"[0.15435206668420365, 0.04057369728654925, 3.804239618442994]"
1,"[0.09886513117123474, 0.031013665974835458, 3.187792479981376]"
2,"[0.28053113861953616, 0.0005558484592769197, 504.6899634919696]"
3,"[0.14814439568479765, 0.006788670756565529, 21.822297913258307]"
4,"[0.06613294267746639, 2.0267728894962644e-05, 3262.9675984023606]"
5,"[0.2763919610780796, 0.06023804892301787, 4.58832857337891]"
6,"[0.3127991411223916, 0.016699634860854018, 18.730897036295744]"
7,"[0.2874608424620454, 0.08027153648356489, 3.5811055207707563]"
8,"[0.17840959989951566, 0.0010570241050991136, 168.78479784790414]"
9,"[0.05013284873901813, 0.01114606237413307, 4.49780802010965]"
10,"[0.09768126490854234, 0.0623148014990228, 1.567545150730748]"
11,"[0.34766576126442594, 0.05677516652208625, 6.123553351960308]"
12,"[0.08410316037215515, 0.04540044371810237, 1.8524744140027198]"
13,"[0.5782175149521211, 0.040453895320340605, 14.293246926492833]"
14,"[0.4710725223861044, 0.06626441128581328, 7.108982231114419]"
15,"[0.42867028950841046, 0.009760758562932237, 43.91772286391164]"
16,"[0.3039127563192344, 0.01138905121079914, 26.68464217906609]"
17,"[0.45013416864003464, 0.012575733698673375, 35.79386932211516]"
18,"[0.40661871427987806, 0.06375986364129793, 6.3773460458988005]"
19,"[0.1790324001848066, 0.0061107342767109385, 29.29801756674806]"
20,"[0.03303502463439201, 0.0017069581978108594, 19.353153859748165]"
21,"[0.09400902265036004, 0.0029063633382490073, 32.34592915935883]"
22,"[0.07804302092417037, 0.014224041225332718, 5.486698167408106]"
23,"[0.031121748190700682, 0.017686316211386277, 1.7596512365115808]"
24,"[0.21132644979721116, 0.01566979670908597, 13.486227914793284]"
25,"[0.22846201722139536, 0.03128054521301449, 7.303645625919018]"
26,"[0.23241608995173724, 0.03369955201280961, 6.896711560539234]"
27,"[0.09768053051803594, 0.011452905690158222, 8.52888630716442]"
28,"[0.15290151010033548, 0.00409682087099239, 37.32199061544458]"
29,"[0.06723490516987751, 0.010384587391821132, 6.47448980234222]"
30,"[0.04699704599543031, 0.011442441564304184, 4.10725680627832]"
31,"[0.07611255743536494, 0.010324435034194446, 7.372079652134064]"
32,"[0.11205913377066135, 0.012290664552821906, 9.117418613864361]"
33,"[0.09348196394083541, 0.017209722257641502, 5.431927519883555]"
34,"[0.003430698792171616, 0.003430698792171616, 1.0]"
35,"[0.32283950170066444, 0.04088017969190605, 7.897213371705998]"
36,"[0.38686740749612225, 0.08406249083654704, 4.6021406651910395]"
37,"[0.3956009777173166, 0.010491576947935677, 37.70653159963289]"
38,"[0.34556597036639203, 0.0008536135108960785, 404.8272033600254]"
39,"[0.22786957967945276, 0.007389137371004217, 30.838454915405674]"
40,"[0.3333718530039609, 0.021361019287539418, 15.606551752819566]"
41,"[0.2914433903051734, 0.010279849671869457, 28.35093893471037]"
42,"[0.19241915199758286, 0.0040544603181482675, 47.45863491037041]"
43,"[0.3018708972936317, 0.07744773379088665, 3.8977369965233652]"
44,"[0.10310265936483742, 0.0017905274316721842, 57.582284158891234]"
45,"[0.21078591705585392, 0.0756509209004611, 2.7862967766539]"
46,"[0.2557026910331286, 0.09242432973671266, 2.7666166664291074]"
47,"[0.22016245527561695, 0.0037308609251658353, 59.011166508660686]"
48,"[0.29270002909462567, 0.004596997449924367, 63.67200162345998]"
49,"[0.22424329596714943, 0.007624467862924922, 29.4110093974643]"
50,"[0.21368005939869594, 0.00011295875687411527, 1891.6644031133203]"
51,"[0.16804585800850647, 0.003900317626380101, 43.08517256951466]"
52,"[0.07088481787670753, 0.041520518496269476, 1.707223812320079]"
53,"[0.41480475997507105, 0.008360243821509794, 49.61634718210414]"
54,"[0.3210666026760782, 0.027391550462102288, 11.721373827315524]"
55,"[0.40109411365583547, 0.09533149014808884, 4.207362258082529]"
56,"[0.38898531662729097, 0.008712980165086481, 44.64434777276118]"
57,"[0.35502833922972843, 0.07347431084169942, 4.832006386485718]"
58,"[0.24874337460482265, 0.16604016427033863, 1.498091595475843]"
59,"[0.4391164977449804, 0.012063326156403265, 36.40094713943347]"
60,"[0.432132826214386, 0.019417635739941708, 22.254657158157364]"
61,"[0.4236129892786402, 0.08385397278243034, 5.051793912946227]"
62,"[0.3928347995423449, 0.13863168282372484, 2.8336581619790944]"
63,"[0.4428369062235118, 0.05330822775448363, 8.307102390704891]"
64,"[0.3992530083125676, 0.010281706190324869, 38.831396357957246]"
65,"[0.45050355747019255, 0.13234263937665636, 3.4040696149940617]"
66,"[0.4351144130038822, 0.23596931717589287, 1.8439448747463445]"
67,"[0.3240120907107016, 0.13321758321278754, 2.4322021380102603]"
68,"[0.3360620261140639, 0.1329551734304829, 2.52763406976245]"
69,"[0.3464951719094904, 0.11687603351626508, 2.9646383564280554]"
70,"[0.35606173274929764, 0.12406952044712827, 2.8698566051202876]"
71,"[0.2883482668578765, 0.1018425858655031, 2.831313290087502]"
72,"[0.35857307036034114, 0.20451843125150315, 1.7532555289327045]"
73,"[0.44548807477022456, 0.19259948410715766, 2.3130283906802465]"
74,"[0.4920018931569454, 0.21958408716233757, 2.240608140211957]"
75,"[0.5137374889434572, 0.2536361554918666, 2.0254899698632727]"
76,"[0.5434244853272381, 0.3530553797100421, 1.539204658978834]"
77,"[0.5286023828545268, 0.2632666157242911, 2.007859528259031]"
78,"[0.563734961402006, 0.30989922415946114, 1.8190912317738865]"
79,"[0.5847028799558509, 0.32892823244307, 1.777600164063295]"
80,"[0.6894070996186281, 0.3478974705014657, 1.9816387242623648]"
81,"[0.7256232365363774, 0.3421379483263275, 2.120849908891971]"
82,"[0.7158097791841298, 0.38349902924752266, 1.8665230537575181]"
83,"[0.7569358761087392, 0.39623213971302373, 1.9103343728173083]"
84,"[0.7933309867722491, 0.37394787130638574, 2.121501545123789]"
85,"[0.727928145016633, 0.47268313149948904, 1.5399917968458747]"
86,"[0.7820288862916974, 0.48139585037526356, 1.6245027573089397]"
87,"[0.8060593292542568, 0.49446536746275305, 1.6301633689541977]"
88,"[0.8221610613525668, 0.4911976713832483, 1.6737885972409061]"
89,"[0.8376092652973017, 0.49820304856375164, 1.6812608186802747]"
90,"[0.863695442040715, 0.5034260013052189, 1.7156353462106355]"
