,experiment9,experiment8,experiment7,experiment6,experiment5,experiment4,experiment3,experiment2,experiment1,experiment0
0,0.5066666666666667,0.6266666666666667,0.64,0.6933333333333334,0.6133333333333333,0.72,0.52,0.5733333333333334,0.5733333333333334,0.5466666666666666
1,0.5333333333333333,0.64,0.68,0.7066666666666667,0.6266666666666667,0.5466666666666666,0.5466666666666666,0.6266666666666667,0.5866666666666667,0.5333333333333333
2,0.5333333333333333,0.64,0.6666666666666666,0.6933333333333334,0.6266666666666667,0.6,0.5466666666666666,0.6133333333333333,0.6266666666666667,0.6266666666666667
3,0.5866666666666667,0.6666666666666666,0.64,0.7066666666666667,0.6266666666666667,0.5466666666666666,0.5466666666666666,0.6133333333333333,0.6666666666666666,0.64
4,0.5866666666666667,0.6666666666666666,0.6666666666666666,0.68,0.6666666666666666,0.5466666666666666,0.5333333333333333,0.6133333333333333,0.6533333333333333,0.5866666666666667
5,0.5866666666666667,0.6666666666666666,0.6133333333333333,0.68,0.5866666666666667,0.5333333333333333,0.5333333333333333,0.6266666666666667,0.6666666666666666,0.5866666666666667
6,0.5866666666666667,0.6666666666666666,0.6266666666666667,0.6933333333333334,0.5866666666666667,0.56,0.5066666666666667,0.6133333333333333,0.6533333333333333,0.6266666666666667
7,0.5866666666666667,0.6533333333333333,0.6266666666666667,0.68,0.5866666666666667,0.52,0.52,0.6133333333333333,0.6666666666666666,0.6266666666666667
8,0.5866666666666667,0.6666666666666666,0.6533333333333333,0.6666666666666666,0.6,0.5466666666666666,0.5066666666666667,0.6,0.6666666666666666,0.6
9,0.5866666666666667,0.7066666666666667,0.6533333333333333,0.6933333333333334,0.6266666666666667,0.5466666666666666,0.52,0.6133333333333333,0.68,0.64
10,0.5866666666666667,0.6666666666666666,0.68,0.6933333333333334,0.6266666666666667,0.5733333333333334,0.5466666666666666,0.6133333333333333,0.6533333333333333,0.64
11,0.5066666666666667,0.6666666666666666,0.6933333333333334,0.7066666666666667,0.6133333333333333,0.5466666666666666,0.5066666666666667,0.5866666666666667,0.7066666666666667,0.6266666666666667
12,0.5866666666666667,0.6666666666666666,0.6533333333333333,0.6533333333333333,0.6,0.56,0.5333333333333333,0.5733333333333334,0.6666666666666666,0.6266666666666667
13,0.6133333333333333,0.6666666666666666,0.7066666666666667,0.6666666666666666,0.5866666666666667,0.56,0.5066666666666667,0.6,0.6933333333333334,0.5733333333333334
14,0.5866666666666667,0.68,0.6533333333333333,0.68,0.6133333333333333,0.68,0.5466666666666666,0.6266666666666667,0.6533333333333333,0.56
15,0.5866666666666667,0.6933333333333334,0.6666666666666666,0.64,0.6933333333333334,0.56,0.52,0.6266666666666667,0.6666666666666666,0.6266666666666667
16,0.5866666666666667,0.72,0.5866666666666667,0.64,0.6133333333333333,0.56,0.5466666666666666,0.6266666666666667,0.68,0.5733333333333334
17,0.6,0.7066666666666667,0.6266666666666667,0.7066666666666667,0.7066666666666667,0.56,0.5466666666666666,0.5733333333333334,0.6933333333333334,0.5733333333333334
18,0.6,0.6933333333333334,0.52,0.6666666666666666,0.64,0.5733333333333334,0.5733333333333334,0.6266666666666667,0.6533333333333333,0.5466666666666666
19,0.5866666666666667,0.7066666666666667,0.52,0.68,0.6133333333333333,0.68,0.5733333333333334,0.6266666666666667,0.6533333333333333,0.5733333333333334
20,0.6,0.68,0.6133333333333333,0.68,0.64,0.5466666666666666,0.64,0.6,0.6666666666666666,0.5466666666666666
21,0.6133333333333333,0.72,0.6266666666666667,0.6933333333333334,0.6266666666666667,0.5466666666666666,0.56,0.6133333333333333,0.68,0.56
22,0.6,0.6933333333333334,0.6133333333333333,0.6933333333333334,0.6133333333333333,0.6,0.6,0.6,0.68,0.56
23,0.6,0.7066666666666667,0.5333333333333333,0.6933333333333334,0.6133333333333333,0.5733333333333334,0.56,0.6,0.6266666666666667,0.6133333333333333
