,min_certainty,min_certainty_of_similar,ratio
0,0.012757910880666875,0.02939819040993108,2.304310688866827
1,0.02657825486269531,0.15491220759941182,5.82853194838023
2,0.034074967281434033,0.24868653520503606,7.2982178721132485
3,0.019540257000585,0.3403785404629118,17.419348192437873
4,0.016636583869231208,0.2761838541289008,16.60099551084483
5,0.0025751956890446293,0.251836996925355,97.79334362693963
6,0.010683075269069567,0.28164007139802655,26.363202009205327
7,0.013989055240624548,0.36644969588131876,26.195457061113043
8,0.005132251655305509,0.6083017941868495,118.52532475838599
9,0.016094168326218867,0.6204934566162801,38.55393109101759
10,0.013509541591486096,0.8277953966910124,61.274869401394106
11,0.016107029915443216,0.8605412681766182,53.426440050970676
12,0.024565310177859418,0.8702055760439945,35.424163983416996
13,0.03458807888956713,0.8706630219217105,25.172344052457053
14,0.023439648991397426,0.9046912932709619,38.596622910308604
15,0.01918133922011071,0.9396464036005941,48.98752859839006
16,0.009661679529747577,0.9122546270860153,94.41988054739889
17,0.011771996436201157,0.9386835675506003,79.73868940904259
18,0.009611675353301615,0.9649474147659448,100.39325916625813
19,0.013281245822046742,0.9720093751226137,73.1866112672267
20,0.013012277510310052,0.9800565096272621,75.31783032222694
21,0.009882085003210972,0.9549548078935531,96.63495179238602
22,0.00937846587421104,0.9884291288690232,105.39347715568401
