,ads_lr,ads_xgboost,voice_lr,voice_xgboost,heart_lr,heart_xgboost
uncertainty,-0.023814370038672938,-0.007247154820700349,-0.01587857559836544,-0.009409108016559984,0.01042167708834354,-0.024278963663027456
similar,0.007429269285568937,0.01862787202061412,0.018213660245183724,0.032116422029858135,0.011624178290844476,0.012465373961218558
k_low,-0.019031141868512052,-0.01057547777539184,0.001167542323409268,-0.014552753732279418,0.016354016354015486,-0.013850415512465622
k_high,-0.012416039079991628,-0.00289886192828014,0.014127262113251665,-0.0032618241124073577,0.009620009620009895,-0.018331432295909948
