,0
0,"[0.048728899675234194, 0.016367345666401967, 2.9772023313017906]"
1,"[0.040776638562912915, 0.03604684277565884, 1.1312124841748399]"
2,"[0.04961393745152409, 0.03775357532231216, 1.3141520247541303]"
3,"[0.13592591953051225, 0.02928697108434264, 4.64117368570015]"
4,"[0.013855909886185902, 0.013855909886185902, 1.0]"
5,"[0.10641841927010576, 0.050437237384073796, 2.10991768759541]"
6,"[0.01903798302770554, 0.0030126087032411597, 6.319434384964514]"
7,"[0.00979371476595925, 0.00979371476595925, 1.0]"
8,"[0.21920669152766759, 0.004944765090368786, 44.33106275455422]"
9,"[0.2819143242214468, 0.09948732859879028, 2.8336706612994202]"
10,"[0.24000633236732127, 0.15115389385218547, 1.5878276520089205]"
11,"[0.2988839727200421, 0.2434462824361494, 1.227720422464996]"
12,"[0.3003881399584497, 0.25273704488189275, 1.188540208258053]"
13,"[0.25266123136471963, 0.10340128636837054, 2.4435018193546023]"
14,"[0.29506231627439417, 0.14834932392223088, 1.9889697402940278]"
15,"[0.22166984524645228, 0.22166984524645228, 1.0]"
16,"[0.429089994425514, 0.16404497701116938, 2.61568505322963]"
17,"[0.41253735648764234, 0.1370677879192077, 3.009732357618593]"
18,"[0.4493782787695051, 0.38534559264170776, 1.1661695043372005]"
19,"[0.5656573439855894, 0.3498493770471067, 1.6168596576046623]"
20,"[0.6136795154774282, 0.3635601155882353, 1.6879726052581512]"
21,"[0.622313657428011, 0.29964913936763127, 2.076807758371405]"
22,"[0.6454577747803973, 0.29242571948878404, 2.207253780237869]"
23,"[0.6573567599311649, 0.3206129918391707, 2.0503122975781194]"
24,"[0.6746350036051407, 0.30729585282993366, 2.1953924772896403]"
25,"[0.6725826056728874, 0.18198073676907933, 3.6959000035610754]"
26,"[0.674091091298257, 0.24514428982222458, 2.7497727635716047]"
27,"[0.6765852872867013, 0.3154020504441084, 2.1451518350436256]"
28,"[0.6465728907782209, 0.5064149665378681, 1.2767649724070156]"
29,"[0.7039118507263615, 0.5140505689059351, 1.3693435885588303]"
30,"[0.684655504419392, 0.3652079771572403, 1.874700300219931]"
31,"[0.6970232125121189, 0.35563702560561494, 1.9599286978771593]"
32,"[0.6953373217783132, 0.35125342005372695, 1.9795887586573704]"
33,"[0.749956238350457, 0.3501289236852463, 2.141943117571862]"
34,"[0.7353409309290342, 0.35087562353893065, 2.095731027172499]"
35,"[0.731502240250045, 0.33877653504527094, 2.159247068727159]"
36,"[0.7516792544748889, 0.4891293252264459, 1.5367699618641626]"
37,"[0.7669497920475856, 0.49308281051156144, 1.5554178237361262]"
38,"[0.8701487908643754, 0.5014207346670922, 1.7353665907774882]"
39,"[0.8883859260815565, 0.5124519491314263, 1.73359849169725]"
40,"[0.9036351967183425, 0.519098620661711, 1.7407774953561828]"
41,"[0.9161892895892648, 0.5167092190311451, 1.7731235593341343]"
42,"[0.8797214009396674, 0.5039878591424267, 1.7455210179796388]"
43,"[0.9131842794952624, 0.5181389578045664, 1.7624312276470449]"
44,"[0.9155185269889184, 0.5222219220902149, 1.7531215911513587]"
45,"[0.9213515774376186, 0.5205925905271596, 1.7698130826346274]"
46,"[0.9261847005104067, 0.5233088548805417, 1.7698624662520406]"
47,"[0.8761595604615382, 0.3480744690985358, 2.517161234866404]"
48,"[0.8839366722764936, 0.4528709048855688, 1.9518513173193281]"
49,"[0.8914408523805601, 0.4616826448459206, 1.9308519874687182]"
50,"[0.9277652268397152, 0.4600454616785965, 2.0166816198001833]"
51,"[0.9041269294180527, 0.389694290237073, 2.320092831917094]"
52,"[0.9102258078190267, 0.41600228016866425, 2.1880308142781915]"
53,"[0.9141899647132368, 0.47296502810739616, 1.9328912506944418]"
54,"[0.9010331305003045, 0.2801423468005684, 3.216340338369995]"
55,"[0.9011122890719503, 0.300666659848434, 2.997047592593741]"
56,"[0.9066052453220794, 0.3392297940348892, 2.672540152026967]"
57,"[0.9082512373276728, 0.290445727790555, 3.1270944979525646]"
58,"[0.9074357000790827, 0.46407655240964196, 1.955357786053552]"
59,"[0.925622225278607, 0.46878990852298585, 1.9744926425463394]"
60,"[0.9301943427663286, 0.47149239023491285, 1.972872440852917]"
61,"[0.9307334747595088, 0.47462640826679614, 1.9609812234390605]"
62,"[0.9356274755771092, 0.4751386303931715, 1.9691673455447913]"
63,"[0.9373296195415894, 0.4747166467194588, 1.9745033716829379]"
64,"[0.9519454584509532, 0.4780434225377421, 1.9913367982294452]"
65,"[0.9679191813475899, 0.4793613301253834, 2.0191849457160376]"
66,"[0.9672716890540521, 0.5426401912571952, 1.7825286527580377]"
67,"[0.9683956257861747, 0.5440550521309631, 1.7799588883388695]"
68,"[0.9724789460470509, 0.5447066974725496, 1.7853258470280857]"
69,"[0.9832336479726748, 0.5458907359911702, 1.8011546691434943]"
