,svd_component_n,explained_variance_ratio
0,0,0.013481195374513446
1,1,0.029248641900481234
2,2,0.025919357907589043
3,3,0.023737789708746227
4,4,0.019201492721682763
5,5,0.015913036544230773
6,6,0.012059419275315677
7,7,0.010587392398765211
8,8,0.00975297275498973
9,9,0.00937654438388925
10,10,0.008714208198595546
11,11,0.007867703744723308
12,12,0.007690477484209123
13,13,0.0073531509427682395
14,14,0.007203081658361055
15,15,0.0066660512335285135
16,16,0.0066368180042234515
17,17,0.006295250718274619
18,18,0.006259658141315988
19,19,0.006103475170112191
20,20,0.005755882592420903
21,21,0.00564408593219596
22,22,0.0054874132762905
23,23,0.005433026658362942
24,24,0.005189861837890741
25,25,0.005098338745160562
26,26,0.004938987119828391
27,27,0.004857976863507447
28,28,0.004697346633760014
29,29,0.004631660802867829
30,30,0.004496887331916941
31,31,0.004389246762233858
32,32,0.004284950848522779
33,33,0.0041999440046231315
34,34,0.004146220275257663
35,35,0.004034807110141519
36,36,0.00396298893453928
37,37,0.003905520472937439
38,38,0.003820317403219823
39,39,0.0037365785289371297
40,40,0.00369897117472075
41,41,0.0035937013162844196
42,42,0.003560765771177969
43,43,0.003455747985695553
44,44,0.0033922310097078186
45,45,0.0033405243650530044
46,46,0.0032644964569863307
47,47,0.0032393604616718173
48,48,0.0031864937365281877
49,49,0.003135985884049571
50,50,0.003059798491422074
51,51,0.0029867165837784942
52,52,0.0029588647078172678
53,53,0.0028723352068752623
54,54,0.002817508187443512
55,55,0.0027954250997277116
56,56,0.0027490793050269804
57,57,0.0027043279263612875
58,58,0.0026431988669932986
59,59,0.0026018014572140504
60,60,0.002580893911747708
61,61,0.002540117681883076
62,62,0.0025137708871217053
63,63,0.0024425658184251235
64,64,0.002400207402194755
65,65,0.0023778043170702167
66,66,0.002314451676122021
67,67,0.002304488412869833
68,68,0.0022662732644842852
69,69,0.002237586217061063
70,70,0.0022271906590745987
71,71,0.002153938887970093
72,72,0.002144250719007538
73,73,0.0021320942543401116
74,74,0.0021019111775886965
75,75,0.002075953468917479
76,76,0.002039932566470421
77,77,0.002026770934439589
78,78,0.0020090664649210135
79,79,0.001985209850612187
80,80,0.00196727381673536
81,81,0.001954755368329272
82,82,0.0019136326420105066
83,83,0.0018980850968578168
84,84,0.0018727060568725555
85,85,0.001851472446487373
86,86,0.001821253782110809
87,87,0.001798407770576358
88,88,0.0017801624661437799
89,89,0.0017569651159872427
90,90,0.0017408225591124778
91,91,0.0017125135690931224
92,92,0.001694697919557444
93,93,0.0016884703715366132
94,94,0.001674296994233634
95,95,0.0016551533106942931
96,96,0.0016330218957951157
97,97,0.0016229074185859903
98,98,0.0016016457521064527
99,99,0.0015636978255913856
100,100,0.0015490228767338012
101,101,0.0015245523162060758
102,102,0.0015064131510641478
103,103,0.001489785872077645
104,104,0.0014755373020806323
105,105,0.0014627625597362168
106,106,0.0014535007428143937
107,107,0.0014372628639822474
108,108,0.0014259941766997075
109,109,0.0014191980540404175
110,110,0.0014009142661354198
111,111,0.0013937528453958226
112,112,0.0013789221027593497
113,113,0.0013659592514588521
114,114,0.0013445730524547159
115,115,0.001329645232641491
116,116,0.0013246883600845462
117,117,0.001321119376390881
118,118,0.0013106009731793334
119,119,0.0013008474116695601
120,120,0.001290218879099062
121,121,0.0012741929737021438
122,122,0.0012675937363998777
123,123,0.001261918874364151
124,124,0.0012529704445235531
125,125,0.0012363308470360245
126,126,0.001218298142135213
127,127,0.001211303151054488
128,128,0.0012039655730321053
129,129,0.0012022155196634706
130,130,0.001187400704512808
131,131,0.001171707880332097
132,132,0.0011694343448816877
133,133,0.0011625684838770126
134,134,0.0011447746876266957
135,135,0.001143413548521336
136,136,0.0011269309950642005
137,137,0.0011223218232817235
138,138,0.0011175350915670803
139,139,0.001112200053119179
140,140,0.0011085325443877597
141,141,0.0010954318741440456
142,142,0.0010887029947642627
143,143,0.00107465196325965
144,144,0.001071637363731038
145,145,0.001070851819338024
146,146,0.0010641897107945657
147,147,0.0010564507056472563
148,148,0.0010514606721293363
149,149,0.0010372019419865551
150,150,0.0010335602865014404
151,151,0.0010298768430376253
152,152,0.0010222672116296644
153,153,0.0010124778439553322
154,154,0.0010050245585410292
155,155,0.0009976337682119406
156,156,0.0009902782660919213
157,157,0.0009779002003854824
158,158,0.0009753168535953647
159,159,0.0009751496107415856
160,160,0.0009682362408557292
161,161,0.0009598539817578213
162,162,0.0009544089081989919
163,163,0.0009535048588746775
164,164,0.0009454387025970286
165,165,0.0009323510648679877
166,166,0.0009277284168757808
167,167,0.000923995608808455
168,168,0.0009181976380143758
169,169,0.0009136760023642825
170,170,0.0009076814553972261
171,171,0.0009037796815336102
172,172,0.0008971655922796781
173,173,0.0008951305182954611
174,174,0.0008914709432583041
175,175,0.0008851493504509115
176,176,0.0008819164371567272
177,177,0.0008792899111113896
178,178,0.0008747246318787642
179,179,0.0008710573691102849
180,180,0.0008660647761071565
181,181,0.0008590221935858678
182,182,0.0008558011027623285
183,183,0.0008526399231727128
184,184,0.000847578575758206
185,185,0.0008444772889242161
186,186,0.0008432660342118685
187,187,0.0008364994213807055
188,188,0.0008338642571340421
189,189,0.0008314123165827636
190,190,0.0008253362739749022
191,191,0.0008209120009335614
192,192,0.0008186404455852794
193,193,0.0008161118328611265
194,194,0.0008116146359396098
195,195,0.0008064145826462905
196,196,0.0008056227471993681
197,197,0.0008024487891909056
198,198,0.000797555908746825
199,199,0.0007955864437036798
200,200,0.0007905985779217823
201,201,0.0007856244011649195
202,202,0.0007821753968542864
203,203,0.0007799338360178436
